lang,author,period,year,title,tau_prev,n,mean_K,alpha,beta,loglik,alpha_marginal,beta_marginal,alpha_ratio,beta_ratio
nl,couperus,early,1889,Eline_Vere,!,2105,4.643705463182898,1.5732215750373624,5.761737631679157,-5246.154278644261,1.2796082510557816,5.655142948076457,1.2294556351440573,1.01884915811703
nl,couperus,early,1889,Eline_Vere,?,1385,4.153068592057762,1.5615107194622675,5.209089102857634,-3317.2877343401665,1.2796082510557816,5.655142948076457,1.2203037282495586,0.9211242139563344
nl,couperus,early,1889,Eline_Vere,;,1150,6.741739130434783,1.8791232221707224,8.182951023263758,-3135.7316991727284,1.2796082510557816,5.655142948076457,1.468514461844312,1.4469927813313916
nl,couperus,early,1889,Eline_Vere,:,489,5.155419222903886,1.7457001123892195,6.370989946211898,-1238.0486298405724,1.2796082510557816,5.655142948076457,1.3642457454841153,1.1265833604398858
nl,couperus,late,1917,De_komedianten,.,13728,2.144667832167832,0.6354014910695309,1.8689796211239489,-25612.32928353382,0.9937439411785182,3.7010323766398145,0.6394016252476312,0.504988725016452
nl,couperus,late,1917,De_komedianten,",",10089,4.384478144513827,1.5457175938783112,5.469102544026452,-24654.382978093578,0.9937439411785182,3.7010323766398145,1.5554485716362576,1.4777235072425594
nl,couperus,late,1917,De_komedianten,!,1612,3.478908188585608,1.2801572739979563,4.289376455432076,-3769.7534335089476,0.9937439411785182,3.7010323766398145,1.2882164317699083,1.1589675579456622
nl,couperus,late,1917,De_komedianten,?,1105,2.8778280542986425,1.3735131131152127,3.6922702358631363,-2374.5385528298675,0.9937439411785182,3.7010323766398145,1.3821599872964379,0.9976325144216562
nl,couperus,late,1917,De_komedianten,;,805,5.870807453416149,1.8712982005794154,7.204529410671507,-2087.4219461064426,0.9937439411785182,3.7010323766398145,1.883078852647064,1.9466269617485852
nl,couperus,late,1917,De_komedianten,:,737,4.876526458616011,1.3923568653324168,5.936924027455716,-1912.417064830874,0.9937439411785182,3.7010323766398145,1.401122369290794,1.6041264769604309
nl,couperus,middle,1900,Langs_lijnen,.,7711,3.9245234081182727,0.9407283007454946,4.292386030876737,-19146.3142370359,1.3579637753786975,5.545492262271143,0.6927491865408208,0.7740315607471069
nl,couperus,middle,1900,Langs_lijnen,",",7913,5.208644003538481,1.8236827947328687,6.449763031199527,-19792.649507630147,1.3579637753786975,5.545492262271143,1.3429539342640384,1.1630641115632974
nl,couperus,middle,1900,Langs_lijnen,!,312,4.230769230769231,1.5622561301722846,5.269692517215439,-755.9169297647175,1.3579637753786975,5.545492262271143,1.1504402094500759,0.9502659580048264
nl,couperus,middle,1900,Langs_lijnen,?,608,4.001644736842105,1.6048508621308335,5.043459983597661,-1429.4591766490767,1.3579637753786975,5.545492262271143,1.181806828155844,0.9094702048203965
nl,couperus,middle,1900,Langs_lijnen,;,368,5.790760869565218,1.985526884246546,7.114322447511185,-939.0516512077058,1.3579637753786975,5.545492262271143,1.462135382582528,1.282901879768836
nl,couperus,middle,1900,Langs_lijnen,:,528,5.462121212121212,1.8886218619126056,6.7425323765830605,-1331.4716885278608,1.3579637753786975,5.545492262271143,1.3907748469843555,1.2158582246081202
