lang,author,period,year,title,k,hazard_empirical,hazard_weibull
nl,couperus,middle,1900,Langs_lijnen,3,0.1641988584663744,0.18740301793988046
nl,couperus,middle,1900,Langs_lijnen,4,0.20902612826603326,0.203178815866204
nl,couperus,middle,1900,Langs_lijnen,5,0.2561311311311311,0.21657396384908856
nl,couperus,middle,1900,Langs_lijnen,6,0.27703952901597984,0.22828731833148574
nl,couperus,middle,1900,Langs_lijnen,7,0.29874360167519776,0.23873887810761785
nl,couperus,middle,1900,Langs_lijnen,8,0.2793629727936297,0.2482031181123383
nl,couperus,middle,1900,Langs_lijnen,9,0.26657458563535913,0.25687040016569773
nl,couperus,middle,1900,Langs_lijnen,10,0.2787193973634652,0.2648787644977011
nl,couperus,middle,1900,Langs_lijnen,11,0.2558746736292428,0.27233184518972353
nl,couperus,middle,1900,Langs_lijnen,12,0.27134502923976606,0.27930964158861016
nl,couperus,middle,1900,Langs_lijnen,13,0.29373996789727125,0.28587533491899386
nl,couperus,middle,1900,Langs_lijnen,14,0.25681818181818183,0.2920797854856805
nl,couperus,middle,1900,Langs_lijnen,15,0.28134556574923547,0.2979646039230528
nl,couperus,middle,1900,Langs_lijnen,16,0.2851063829787234,0.3035643106503374
