lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,late,1865,Our_Mutual_Friend,shuffled,36,54768,0.9993087393375575,6.600554296813915,geometric,1.961659325286746,0.0,1.9307635372970253,9488.191213708196
en,dickens,late,1865,Our_Mutual_Friend,shuffled,37,54768,1.000357260392517,6.60374145147534,geometric,1.9897690500947647,0.0,1.9909157848451287,9524.050627824035
en,dickens,late,1865,Our_Mutual_Friend,shuffled,38,54768,0.9998024790516011,6.602178992759389,geometric,1.9968552786158398,0.0,1.9171068439027295,9462.165304046008
en,dickens,late,1865,Our_Mutual_Friend,shuffled,39,54768,1.0006959908692172,6.604832830127629,geometric,1.9611543532228097,0.0,1.8741295458748937,9674.687182164867
en,dickens,late,1865,Our_Mutual_Friend,shuffled,40,54768,1.0008467157342313,6.6051717393090685,geometric,1.9424190743011422,0.0,1.7280978913768195,9704.272590314387
en,dickens,late,1865,Our_Mutual_Friend,shuffled,41,54768,0.9956929850155052,6.590171416820116,geometric,0.5066627698834054,0.0,0.6174335710238665,9752.649535341538
en,dickens,late,1865,Our_Mutual_Friend,shuffled,42,54768,1.0042524433245184,6.614842012496457,geometric,0.561983056308236,0.0,0.8402085431735031,9819.828713719151
en,dickens,late,1865,Our_Mutual_Friend,shuffled,43,54768,0.9997068087385194,6.602075149563845,geometric,1.9931373117724434,0.0,1.8980381584260613,9845.520766725298
en,dickens,late,1865,Our_Mutual_Friend,shuffled,44,54768,1.0037702982200638,6.613486132027353,geometric,0.8615803741849959,0.0,0.40117221395485103,9535.514963855967
en,dickens,late,1865,Our_Mutual_Friend,shuffled,45,54768,1.0059398016606427,6.619238413932326,nbinom,0.3156178834615275,1.128611622552853,0.0,9553.964892966032
en,dickens,late,1865,Our_Mutual_Friend,shuffled,46,54768,1.0029264879756092,6.610969188310049,geometric,1.3177867844933644,0.0,1.489012800855562,9795.101455900061
en,dickens,late,1865,Our_Mutual_Friend,shuffled,47,54768,0.9989647875069635,6.5998911456529985,geometric,1.9143942869850434,0.0,1.764407905517146,9907.001882688666
en,dickens,late,1865,Our_Mutual_Friend,shuffled,48,54768,1.0019737433698697,6.60823893766308,geometric,1.6881032437668182,0.0,1.6063385419547558,9537.42110586341
en,dickens,late,1865,Our_Mutual_Friend,shuffled,49,54768,0.9992594128423591,6.600759360015887,geometric,1.9559321156702936,0.0,1.9843976245028898,9544.279669609969
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,0,54768,0.9951228766627189,6.588909416758311,nbinom,0.21130457642721012,0.1235635043703951,0.0,9874.910936091852
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,1,54768,0.9957415701204821,6.590595241069748,geometric,0.5381440569180995,0.0,0.8587437662063166,9744.24650515389
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,2,54768,0.9983610969802261,6.598208114875966,geometric,1.785346353717614,0.0,1.6425225448911078,10069.896226175944
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,3,54768,0.9993319255080496,6.6005998679015985,geometric,1.9641208524699323,0.0,1.997475596726872,9573.96240213199
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,4,54768,1.0066124669510614,6.621516425366016,nbinom,0.34028127358760685,1.8207730810390785,0.0,9617.765070452588
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,5,54768,1.0000075202785306,6.602672986294949,geometric,1.9999955199891701,0.0,1.9843727615079843,9546.482952458027
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,6,54768,0.9923403611655659,6.580327742369944,weibull,0.0,2.750679116754327,0.2708641771459952,9560.801905359956
en,dickens,late,1865,Our_Mutual_Friend,bernoulli,7,54768,1.00045719580267,6.604210228693415,geometric,1.9832007659133524,0.0,1.9001072017126717,9546.55012427119
